Classifier,n_samples,n_features,Average Fit Time,STD Fit Time,Average Predict Time,STD Predict Time,Score
Gaussian,10,10,6.650288899739583e-05,0.0002488310258589136,0.0,0.0,1.0
Categorical,10,10,0.0007459163665771484,0.0010770901471543538,0.0006035168965657552,0.002005781487505254,1.0
Custom with encoding,10,10,0.0010732650756835938,0.002736299949659675,0.0005364418029785156,0.0020071814346888945,1.0
Custom without encoding,10,10,0.2647587617238363,0.9884792120996645,0.05525202751159668,0.20673415687300273,1.0
Gaussian,100,100,0.0002697149912516276,0.0005830722087593934,6.40869140625e-05,0.00023979127539749986,0.9299999999999999
Categorical,100,100,0.010508362452189128,0.0015342398313047587,0.0007469495137532552,0.0019956858867207165,1.0
Custom with encoding,100,100,0.013748963673909506,0.003953760636845924,0.006680409113566081,0.0037022738897128514,1.0
Custom without encoding,100,100,0.0006808916727701823,0.0020621678195845037,0.00019966761271158855,0.0003993354183798428,1.0
Gaussian,1000,1000,0.014513429005940754,0.003977127178272149,0.023083925247192383,0.002973873869272166,0.9480000000000002
Categorical,1000,1000,0.14880865414937336,0.0044402836092410575,0.019821993509928384,0.0014793783955730146,1.0
Custom with encoding,1000,1000,1.2435243606567383,0.02697200159636531,0.6328903992970785,0.01848032307935724,1.0
Custom without encoding,1000,1000,0.016773064931233723,0.00390809108545721,0.02255086898803711,0.0027638044632930093,1.0
